서울특별시 강남구 개포동 
서울특별시 광진구 자양4동 6-58 
서울특별시 강남구 삼성동 140-3 
서울특별시 관악구 신림동 1640-3 
서울특별시 강남구 논현동 233-11 
서울특별시 중구 회현동2가 88-1 
서울특별시 강남구 역삼동 618-3 
서울특별시 광진구 중곡동 639-1 
서울시 강남구 논현동 201-5 
서울특별시 강남구 대치동 897-9 
인천광역시 부평구 부평동 193-60 
서울시 구로구 구로5동 3-25 
대구광역시 남구 대명2동 1791-12 
서울특별시 구로구 구로동 1124-55 
서울특별시 마포구 연남동 229-55 
서울특별시 강남구 청담동 18-3 
서울특별시 강남구 청담동 90-25 
서울특별시 강남구 논현동 15 
서울특별시 강동구 천호동 454-11 
서울특별시 광진구 화양동 47-6 
서울특별시 강남구 논현동 193-38 
서울특별시 강남구 신사동 551-32 
서울특별시 강동구 천호동 166-4 
서울특별시 관악구 신림동 1637-6 
서울특별시 광진구 군자동 358-9 
서울특별시 강남구 삼성동 159 
서울특별시 강북구 수유3동 191-65 
서울특별시 강서구 염창동 282-20 
서울특별시 강남구 삼성동 51 
서울특별시 강동구 명일동 257-1 
서울특별시 관악구 조원동 1669-10 
서울특별시 관악구 대학동 1538-1 
서울특별시 강동구 성내2동 38-20 
대구광역시 남구 대명2동 2005-6 
서울특별시 강남구 삼성동 69-15 
서울시 강동구 성내3동 439-8 
서울특별시 강북구 수유3동 174-37 
서울특별시 광진구 구의3동 589-10 
서울특별시 강서구 등촌1동 628-5 
서울특별시 금천구 독산동 378-449 
서울특별시 강남구 역삼동 826-37 
서울특별시 용산구 한강로1가 137-1 
서울특별시 강남구 도곡동 457 
서울특별시 강동구 성내동 194 
서울특별시 관악구 서원동 1637-3 
서울특별시 구로구 구로5동 30-1 
서울특별시 강남구 논현동 164-15 
제주특별자치도 제주시 구좌읍 평대리 
서울특별시 강서구 화곡동 343-61 
서울특별시 강북구 수유동 224-30 
서울특별시 금천구 가산동 43-1 
서울특별시 광진구 화양동 12-34 
서울시 광진구 구의3동 593-15 
서울특별시 강남구 논현동 242-9 
서울시 강남구 신사동 615 
서울시 강북구 수유3동 174-13 
서울특별시 광진구 중곡2동 40-8 
서울특별시 강남구 논현동 197-24 
서울시 강남구 논현동 113-20 
서울특별시 광진구 군자동 249 
서울특별시 관악구 신림동 1461-16 
서울특별시 강동구 길동 343-1 
서울특별시 구로구 구로동 573 
서울특별시 관악구 신림동 1412-12 
서울특별시 강동구 천호2동 289-8 
서울특별시 강남구 신사동 652 
서울특별시 광진구 중곡동 638-5 
서울특별시 강북구 수유동 192-22 
서울 광진구 중곡3동 169-21 
서울특별시 관악구 대학동 1533-3 
서울특별시 강남구 삼성동 159 
서울특별시 강남구 논현동 246-1 
서울특별시 강동구 성내동 438-11 
서울시 광진구 화양동 2-11 
서울특별시 구로구 구로동 1124-47 
서울특별시 금천구 독산동 149-1 
서울특별시 강동구 길동 413-13 
